country,Medal
af,0
ax,0
al,0
dz,0
as,0
ad,0
ao,0
ai,0
aq,0
ag,0
ar,0
am,0
aw,0
au,13
at,11
az,0
bs,0
bh,0
bd,0
bb,0
by,0
be,1
bz,0
bj,0
bm,0
bt,0
bo,0
bq,0
ba,0
bw,0
bv,0
br,9
io,0
bn,0
bg,91
bf,0
bi,0
kh,0
cm,0
ca,2
cv,0
ky,0
cf,0
td,0
cl,0
cn,0
cx,0
cc,0
co,0
km,0
cg,0
cd,0
ck,0
cr,0
ci,0
hr,0
cu,20
cw,0
cy,0
cz,0
dk,8
dj,0
dm,0
do,0
ec,0
eg,0
sv,0
gq,0
er,0
ee,0
et,4
fk,0
fo,0
fj,0
fi,21
fr,30
gf,0
pf,0
tf,0
ga,0
gm,0
ge,0
de,0
gh,0
gi,0
gr,5
gl,0
gd,0
gp,0
gu,0
gt,0
gg,0
gn,0
gw,0
gy,1
ht,0
hm,0
va,0
hn,0
hk,0
hu,63
is,0
in,16
id,0
ir,0
iq,0
ie,3
im,0
il,0
it,38
jm,3
jp,1
je,0
jo,0
kz,0
ke,0
ki,0
kp,0
kr,0
kw,0
kg,0
la,0
lv,0
lb,1
ls,0
lr,0
ly,0
li,4
lt,0
lu,0
mo,0
mk,0
mg,0
mw,0
my,0
mv,0
ml,0
mt,0
mh,0
mq,0
mr,0
mu,0
yt,0
mx,10
fm,0
md,0
mc,0
mn,4
me,0
ms,0
ma,0
mz,0
mm,0
nan,0
nr,0
np,0
nl,10
nc,0
nz,0
ni,0
ne,0
ng,0
nu,0
nf,0
mp,0
no,15
om,0
pk,0
pw,0
ps,0
pa,0
pg,0
py,0
pe,0
ph,0
pn,0
pl,50
pt,0
pr,0
qa,0
re,0
ro,68
ru,0
rw,0
bl,0
sh,0
kn,0
lc,0
mf,0
pm,0
vc,0
ws,0
sm,0
st,0
sa,0
sn,0
rs,0
sc,0
sl,0
sg,0
sx,0
sk,0
si,0
sb,0
so,0
za,0
gs,0
ss,0
es,24
lk,0
sd,0
sr,0
sj,0
sz,0
se,43
ch,5
sy,0
tw,0
tj,0
tz,0
th,0
tl,0
tg,0
tk,0
to,0
tt,0
tn,0
tr,0
tm,0
tc,0
tv,0
ug,1
ua,0
ae,0
gb,0
us,30
um,0
uy,0
uz,0
vu,0
ve,0
vn,0
vg,0
vi,0
wf,0
eh,0
ye,0
zm,0
zw,15
